epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
217,1.199,0.574,1.255,0.203,0.495,0.781,0.558,0.606,0.272
218,1.176,0.571,1.245,0.201,0.495,0.781,0.558,0.606,0.272
219,1.162,0.565,1.235,0.200,0.495,0.782,0.558,0.606,0.273
220,1.181,0.570,1.242,0.200,0.495,0.782,0.558,0.606,0.273
221,1.171,0.571,1.228,0.196,0.495,0.781,0.558,0.606,0.273
222,1.182,0.571,1.284,0.199,0.495,0.780,0.558,0.606,0.273
223,1.134,0.550,1.205,0.204,0.496,0.779,0.558,0.606,0.273
224,1.203,0.581,1.273,0.196,0.495,0.781,0.558,0.606,0.273
225,1.160,0.563,1.232,0.203,0.495,0.782,0.558,0.606,0.273
226,1.116,0.541,1.177,0.200,0.495,0.782,0.559,0.607,0.273
227,1.159,0.566,1.231,0.201,0.496,0.782,0.559,0.607,0.274
228,1.174,0.572,1.240,0.205,0.496,0.783,0.559,0.607,0.274
229,1.180,0.570,1.248,0.201,0.495,0.784,0.558,0.607,0.274
230,1.194,0.579,1.249,0.199,0.494,0.785,0.558,0.607,0.274
231,1.178,0.577,1.239,0.197,0.494,0.786,0.558,0.607,0.274
232,1.143,0.558,1.217,0.207,0.494,0.786,0.559,0.607,0.274
233,1.170,0.569,1.216,0.197,0.495,0.787,0.559,0.607,0.274
234,1.143,0.555,1.210,0.203,0.495,0.786,0.559,0.607,0.274
235,1.140,0.554,1.223,0.204,0.495,0.785,0.559,0.608,0.274
236,1.121,0.550,1.186,0.203,0.495,0.786,0.559,0.608,0.274
237,1.153,0.561,1.230,0.202,0.495,0.787,0.559,0.608,0.274
238,1.121,0.550,1.183,0.202,0.495,0.786,0.559,0.608,0.274
239,1.118,0.548,1.194,0.202,0.495,0.786,0.559,0.607,0.274
240,1.136,0.551,1.217,0.203,0.494,0.786,0.559,0.607,0.274
241,1.126,0.542,1.206,0.204,0.494,0.785,0.558,0.607,0.274
242,1.181,0.570,1.267,0.203,0.495,0.784,0.558,0.607,0.274
243,1.150,0.560,1.210,0.202,0.495,0.784,0.559,0.607,0.274
244,1.200,0.572,1.254,0.203,0.495,0.783,0.559,0.607,0.274
245,1.144,0.554,1.214,0.202,0.494,0.785,0.559,0.607,0.275
246,1.143,0.558,1.214,0.201,0.494,0.786,0.559,0.607,0.275
247,1.206,0.584,1.292,0.201,0.494,0.785,0.559,0.607,0.275
248,1.121,0.551,1.185,0.201,0.495,0.785,0.559,0.607,0.275
249,1.130,0.553,1.214,0.199,0.495,0.785,0.559,0.607,0.275
250,1.159,0.560,1.223,0.201,0.495,0.786,0.559,0.607,0.275
251,1.153,0.562,1.228,0.198,0.495,0.785,0.559,0.607,0.275
252,1.156,0.557,1.234,0.203,0.495,0.786,0.559,0.608,0.275
253,1.094,0.544,1.159,0.199,0.495,0.784,0.559,0.607,0.275
254,1.189,0.577,1.256,0.197,0.495,0.785,0.559,0.607,0.275
255,1.132,0.550,1.185,0.203,0.495,0.784,0.559,0.607,0.275
256,1.160,0.563,1.205,0.200,0.496,0.785,0.559,0.608,0.275
257,1.120,0.550,1.196,0.204,0.496,0.784,0.560,0.608,0.275
258,1.123,0.548,1.172,0.198,0.495,0.785,0.560,0.607,0.275
259,1.145,0.555,1.218,0.203,0.495,0.786,0.560,0.608,0.275
260,1.158,0.565,1.222,0.195,0.495,0.787,0.560,0.607,0.275
261,1.144,0.559,1.209,0.201,0.494,0.788,0.560,0.608,0.275
262,1.147,0.557,1.207,0.199,0.495,0.788,0.560,0.608,0.275
263,1.155,0.560,1.225,0.195,0.495,0.788,0.560,0.608,0.275
264,1.098,0.537,1.167,0.202,0.495,0.789,0.560,0.608,0.275
265,1.159,0.561,1.242,0.201,0.496,0.786,0.560,0.608,0.276
266,1.167,0.567,1.242,0.204,0.496,0.786,0.560,0.608,0.276
267,1.146,0.558,1.219,0.198,0.496,0.787,0.560,0.608,0.276
268,1.143,0.557,1.200,0.201,0.496,0.787,0.560,0.608,0.276
269,1.150,0.557,1.230,0.203,0.496,0.785,0.560,0.608,0.275
270,1.174,0.563,1.254,0.202,0.496,0.786,0.560,0.608,0.276
271,1.174,0.572,1.231,0.196,0.496,0.786,0.560,0.608,0.276
272,1.135,0.558,1.196,0.194,0.496,0.785,0.560,0.608,0.276
273,1.203,0.579,1.276,0.200,0.496,0.788,0.560,0.608,0.276
274,1.145,0.559,1.208,0.202,0.495,0.788,0.560,0.608,0.276
275,1.124,0.549,1.202,0.202,0.496,0.788,0.561,0.609,0.276
276,1.147,0.561,1.217,0.201,0.496,0.787,0.561,0.609,0.276
277,1.159,0.565,1.234,0.201,0.497,0.785,0.561,0.608,0.276
278,1.130,0.551,1.219,0.201,0.497,0.786,0.561,0.609,0.276
279,1.133,0.557,1.182,0.199,0.497,0.785,0.561,0.609,0.276
280,1.149,0.560,1.219,0.198,0.497,0.785,0.561,0.609,0.276
281,1.185,0.574,1.265,0.198,0.496,0.786,0.560,0.608,0.276
282,1.106,0.548,1.180,0.199,0.497,0.784,0.561,0.608,0.276
283,1.119,0.547,1.199,0.199,0.497,0.786,0.560,0.609,0.276
284,1.127,0.548,1.182,0.205,0.497,0.785,0.561,0.609,0.276
285,1.170,0.561,1.248,0.202,0.497,0.785,0.560,0.609,0.276
286,1.141,0.558,1.202,0.197,0.497,0.785,0.561,0.609,0.276
287,1.129,0.548,1.197,0.202,0.496,0.785,0.560,0.608,0.276
288,1.172,0.569,1.252,0.201,0.496,0.784,0.560,0.608,0.276
289,1.127,0.552,1.196,0.201,0.497,0.783,0.560,0.608,0.276
290,1.164,0.562,1.217,0.197,0.496,0.783,0.560,0.607,0.276
291,1.110,0.544,1.176,0.199,0.496,0.784,0.560,0.608,0.276
292,1.129,0.551,1.191,0.200,0.496,0.783,0.560,0.608,0.276
293,1.109,0.540,1.193,0.202,0.496,0.783,0.560,0.608,0.276
294,1.121,0.546,1.204,0.202,0.497,0.784,0.561,0.608,0.276
295,1.124,0.552,1.180,0.195,0.497,0.784,0.560,0.608,0.276
296,1.176,0.569,1.243,0.200,0.496,0.786,0.560,0.608,0.276
297,1.115,0.546,1.194,0.200,0.496,0.785,0.560,0.608,0.276
298,1.130,0.553,1.199,0.197,0.497,0.785,0.560,0.608,0.276
299,1.168,0.564,1.234,0.198,0.496,0.786,0.560,0.608,0.276
300,1.149,0.556,1.224,0.198,0.496,0.786,0.560,0.608,0.276
